day,year,week,variant,ireg,region,positive,genomes,cases
258,2020,45,b1525,5,sjaelland,0,175,983
258,2020,45,b1525,6,whole_denmark,0,1435,7373
258,2020,45,d614g,1,nordjylland,216,216,588
258,2020,45,d614g,2,midtjylland,263,263,1322
258,2020,45,d614g,3,syddanmark,182,182,988
258,2020,45,d614g,4,copenhagen,659,660,3415
258,2020,45,d614g,5,sjaelland,187,187,983
258,2020,45,d614g,6,whole_denmark,1507,1508,7373
258,2020,45,e484k,0,other,0,16,
258,2020,45,e484k,1,nordjylland,0,178,588
258,2020,45,e484k,2,midtjylland,0,229,1322
258,2020,45,e484k,3,syddanmark,0,179,988
258,2020,45,e484k,4,copenhagen,0,658,3415
258,2020,45,e484k,5,sjaelland,0,175,983
258,2020,45,e484k,6,whole_denmark,0,1435,7373
258,2020,45,n439k,0,other,0,16,
258,2020,45,n439k,1,nordjylland,20,178,588
258,2020,45,n439k,2,midtjylland,21,229,1322
258,2020,45,n439k,3,syddanmark,14,179,988
258,2020,45,n439k,4,copenhagen,136,658,3415
258,2020,45,n439k,5,sjaelland,26,175,983
258,2020,45,n439k,6,whole_denmark,217,1435,7373
258,2020,45,n501y,0,other,0,16,
258,2020,45,n501y,1,nordjylland,0,178,588
258,2020,45,n501y,2,midtjylland,0,229,1322
258,2020,45,n501y,3,syddanmark,0,179,988
258,2020,45,n501y,4,copenhagen,0,658,3415
258,2020,45,n501y,5,sjaelland,0,175,983
258,2020,45,n501y,6,whole_denmark,0,1435,7373
258,2020,45,p1,0,other,0,16,
258,2020,45,p1,1,nordjylland,0,178,588
258,2020,45,p1,2,midtjylland,0,229,1322
258,2020,45,p1,3,syddanmark,0,179,988
258,2020,45,p1,4,copenhagen,0,658,3415
258,2020,45,p1,5,sjaelland,0,175,983
258,2020,45,p1,6,whole_denmark,0,1435,7373
258,2020,45,p2,0,other,0,16,
258,2020,45,p2,1,nordjylland,0,178,588
258,2020,45,p2,2,midtjylland,0,229,1322
258,2020,45,p2,3,syddanmark,0,179,988
258,2020,45,p2,4,copenhagen,0,658,3415
258,2020,45,p2,5,sjaelland,0,175,983
258,2020,45,p2,6,whole_denmark,0,1435,7373
258,2020,45,y453f,0,other,6,16,
258,2020,45,y453f,1,nordjylland,39,178,588
258,2020,45,y453f,2,midtjylland,30,229,1322
258,2020,45,y453f,3,syddanmark,3,179,988
258,2020,45,y453f,4,copenhagen,6,658,3415
258,2020,45,y453f,5,sjaelland,3,175,983
258,2020,45,y453f,6,whole_denmark,87,1435,7373
265,2020,46,20e-eu1,0,other,5,21,
265,2020,46,20e-eu1,1,nordjylland,99,308,485
265,2020,46,20e-eu1,2,midtjylland,57,302,1600
265,2020,46,20e-eu1,3,syddanmark,38,166,1087
265,2020,46,20e-eu1,4,copenhagen,184,484,3325
265,2020,46,20e-eu1,5,sjaelland,92,154,899
265,2020,46,20e-eu1,6,whole_denmark,475,1435,7508
265,2020,46,b117,0,other,0,21,
265,2020,46,b117,1,nordjylland,0,308,485
265,2020,46,b117,2,midtjylland,0,302,1600
265,2020,46,b117,3,syddanmark,0,166,1087
265,2020,46,b117,4,copenhagen,4,484,3325
265,2020,46,b117,5,sjaelland,0,154,899
265,2020,46,b117,6,whole_denmark,4,1435,7508
265,2020,46,b1351,0,other,0,21,
265,2020,46,b1351,1,nordjylland,0,308,485
265,2020,46,b1351,2,midtjylland,0,302,1600
265,2020,46,b1351,3,syddanmark,0,166,1087
